,Hour,Total_Request,Unserved,Serving_Rate,Unserved_Rate,Rush
0,0,19313,12565,0.349401957,0.650598043,0
1,1,10052,2755,0.725925189,0.274074811,0
2,2,6070,606,0.900164745,0.099835255,0
3,3,3725,282,0.924295302,0.075704698,0
4,4,2567,257,0.899883132,0.100116868,0
5,5,1887,108,0.942766296,0.057233704,0
6,6,2728,230,0.91568915,0.08431085,0
7,7,8707,3291,0.622028253,0.377971747,1
8,8,15405,7950,0.483933788,0.516066212,1
9,9,21036,12737,0.394514166,0.605485834,1
10,10,22339,13598,0.391288777,0.608711223,1
11,11,19942,10905,0.453164176,0.546835824,0
12,12,18397,9102,0.50524542,0.49475458,0
13,13,19389,10031,0.482644799,0.517355201,0
14,14,19485,10001,0.486733385,0.513266615,0
15,15,19383,10392,0.463860084,0.536139916,0
16,16,17988,8623,0.520624861,0.479375139,0
17,17,14773,5242,0.645163474,0.354836526,1
18,18,19137,9992,0.477870095,0.522129905,1
19,19,25012,16374,0.34535423,0.65464577,1
20,20,26576,18226,0.314193257,0.685806743,1
21,21,24209,16350,0.324631335,0.675368665,0
22,22,22763,15402,0.323375653,0.676624347,0
23,23,22186,15083,0.320156856,0.679843144,0
